id,event_template_id,event_template_qty_id,currency_id,price_base,markup_amount,duration,min_total,reason
1794761,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794763,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794765,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794767,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794769,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794771,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794773,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794775,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794777,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794779,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794781,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794783,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794785,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794787,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794789,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794791,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794793,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794795,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794797,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794799,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794801,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794803,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794805,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794807,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794809,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794811,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794813,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794815,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794817,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794819,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794821,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794823,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794825,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794827,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794829,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794831,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794833,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794835,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794837,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794839,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794841,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794843,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794845,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794847,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794849,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794851,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794853,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794855,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794857,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794859,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794861,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794863,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794865,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794867,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794869,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794871,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794873,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794875,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794877,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794879,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794881,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794883,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794885,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794887,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794889,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794891,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794893,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794895,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794897,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794899,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794901,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794903,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794905,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794907,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794909,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794911,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794913,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794915,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794917,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794919,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794921,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794923,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794925,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794927,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794929,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794931,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794933,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794935,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794937,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794939,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794941,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794943,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794945,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794947,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794949,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794951,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794953,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794955,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794957,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794959,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794961,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794963,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794965,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794967,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794969,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794971,510,40,2,1105.00,165.75,2,2000.00,below_min_total
